video_name, What is in this video?, What is the person doing?, What are the people doing in the background?, Are people in the video focused or distracted?, Can you tell the mood of the person in the video?, Can you identify objects in the video?, Is anyone holding any object, what are they holding?, Are there any safety hazards in the place?, Can you tell the profession of people in the video?
6xR3o-ZxB2Q_000051_000061.mp4, ["In the video a person is seen adjusting a blue and white tie around their neck. They are wearing a black shirt and a black jacket. The person's hands are visible as they make adjustments to the tie."], ['The person is tying a tie.'], ['There are no people in the background of the image.'], ['The people in the video are focused on the task of tying a tie.'], ['The person in the video appears to be in a relaxed and casual mood.'], ['Yes the video shows a person wearing a black jacket and a blue tie.'], ['Yes the person in the image is holding a tie.'], ['There is no indication of any safety hazards in the image.'], ['There is no indication of the profession of the people in the video.']
4AsNARLaL5I_000308_000318.mp4, ['This video shows a man using a pottery wheel to make a clay bowl. He is seen using a sponge to smooth the bowl and then using his hands to shape it.'], ["The person is using a sponge to smooth out the clay on the potter's wheel."], ['The people in the background are also working with pottery but it is not clear what they are specifically doing.'], ['The people in the video are focused on their work as they are seen working on pottery wheels and shaping clay into bowls.'], ['The person in the video appears to be focused and engaged in the pottery-making process.'], ['Yes the video shows a man using a pottery wheel to make a bowl. He is seen using a sponge to smooth the piece.'], ['Yes the person is holding a sponge.'], ['Yes there is a potential safety hazard in the place. The man is using a natural sponge to smooth the piece of pottery which could cause injury if the sponge is not handled properly.'], ['The video shows people working with pottery and ceramics but it does not provide any information about their profession.']
39zZgsn9K_I_000002_000012.mp4, ['The video shows a man chopping wood with an ax while a woman and a child watch.'], ['The person is chopping wood with an ax.'], ['The people in the background are standing around a pile of wood.'], ['The video shows people in the woods some of whom are focused on their tasks while others are distracted.'], ['The person in the video appears to be in a relaxed and casual mood as they are standing in the woods and holding an axe.'], ['Yes the video shows a person holding an axe a person standing next to a pile of wood and a person standing next to a tree.'], ['Yes the man in the brown jacket is holding an axe.'], ['Yes there are safety hazards in the place. The video shows a man standing on a pile of wood which could be a potential hazard if he slips or falls. Additionally there is a person standing on a pile of wood which could also be a safety hazard if they slip or fall.'], ['The video does not provide any information about the profession of the people in the video.']
1C5WAioLVWI_000147_000157.mp4, ['This video shows a snowy landscape with several people engaged in snowkiting. Snowkiting is a winter sport that combines elements of snowboarding or skiing with kite flying. The individuals are using kites to pull them across the snow creating a dynamic and thrilling experience. The sky is filled with colorful kites and the participants are seen gliding across the snowy terrain. The overall atmosphere is one of adventure and enjoyment in the winter environment.'], ['The person in the video is snowboarding down a snowy hill.'], ['The people in the background are snowboarding.'], ['The people in the video are focused on the activity of snowboarding and kite flying.'], ['The person in the video appears to be having a good time as they are smiling while skiing down the snowy hill.'], ['Yes the video shows a snowy landscape with trees and people engaged in snowboarding and kite flying.'], ['Yes there are people holding onto the kites in the air.'], ['Yes there are safety hazards in the place. The presence of multiple kites in the sky and people skiing on the snow suggests that there is a risk of collisions between the kites and the skiers. Additionally the snowy terrain can be slippery and treacherous increasing the risk of falls and injuries. It is important for the participants to be aware of their surroundings and take necessary precautions to avoid accidents.'], ['The video shows people engaged in snowboarding and kiteboarding but it does not provide any information about their professions.']
9h6utgfbz_s_000051_000061.mp4, ['The video shows a man dancing in the street.'], ['The person is dancing in the street.'], ['The people in the background are walking down the street.'], ["The video shows people in the background looking at the skateboarder indicating that they are focused on the skateboarder's performance."], ['The person in the video appears to be happy and energetic as they are dancing and jumping around in the street.'], ['Yes the video shows a man wearing a red hat and a white shirt a skateboard and a street with palm trees.'], ['Yes the person is holding a sign.'], ['Yes there are safety hazards in the place. The person is skateboarding on a street which is not a safe place for skateboarding.'], ['The video does not provide any information about the profession of the people in the video.']
9sFc32Ddjes_000016_000026.mp4, ['The video shows a man lifting a barbell in a gym.'], ['The person is lifting a weight over their head.'], ['The people in the background are standing and watching the man lift the weights.'], ['The people in the video are focused on the weightlifting activity.'], ['The person in the video appears to be focused and determined as they lift the weight.'], ['Yes the video shows a man lifting a barbell a woman holding a weight and a man standing in front of a weight rack.'], ['Yes a man is holding a barbell.'], ['Yes there are safety hazards in the place. The man is lifting a heavy weight which can cause injury if he drops it. Additionally the presence of other people in the room increases the risk of accidents.'], ['The video does not provide any information about the profession of the people in the video.']
6Bf8zBuSI1k_000083_000093.mp4, ['This video shows a man attempting to lift a weight in a gym. He drops the weight on the ground and falls to the ground.'], ['The person is lifting a weight over his head and then dropping it on the ground.'], ['The people in the background are walking around and talking to each other.'], ['The video shows people in the gym focused on their workout routine.'], ['The person in the video appears to be in a serious mood as they are focused on their weightlifting routine.'], ['Yes the video shows a man lifting a weight and falling down. There is also a barbell in the gym and a person standing in the background.'], ['Yes a man is holding a barbell in the video.'], ['Yes there are safety hazards in the place. The man is seen lifting a weight barbell in a gym which can be dangerous if not done properly. Additionally there is a red box in the background which could potentially be a hazard if it is not properly secured.'], ['The video does not provide any information about the profession of the people in the video.']
8ra9i1cgwqU_000355_000365.mp4, ['This video shows a group of people playing soccer on a field. The players are wearing different colored jerseys and they are running around trying to score goals. The video also shows a scoreboard with the names of the teams and their scores.'], ['The person is running on the field.'], ['The people in the background are playing soccer.'], ['The people in the video are focused on playing the game and running around the field.'], ['The person in the video appears to be having a good time as they are seen running around and playing with a frisbee.'], ['Yes the video shows a soccer field with players running around and kicking a ball. There are also cones and a clipboard on the field.'], ['Yes a man is holding a frisbee.'], ['Yes there are safety hazards in the place. There are orange cones on the field which can be a potential hazard for players. Additionally there is a red cone on the field which can also be a potential hazard.'], ['The video does not provide any information about the professions of the people in the video.']
2hurATWhXGg_000018_000028.mp4, ['The video shows a person holding a deck of playing cards and spreading them out on a bed.'], ['The person is playing cards on a bed.'], ['The people in the background are playing cards.'], ['The video shows people playing cards and holding money but it is unclear whether they are focused or distracted.'], ['The person in the video appears to be in a relaxed and casual mood as they are seen playing cards on a bed.'], ['Yes the video shows a person holding a deck of cards a person holding a dollar bill and a person holding a cell phone.'], ['Yes a person is holding a white object in the video.'], ['Yes there is a safety hazard in the place. A bottle of alcohol is visible on the table which can be dangerous if not handled properly.'], ['The video does not provide any information about the profession of the people in the video.']
19w2nufRiT0_000074_000084.mp4, ['In this video a man is bungee jumping off a bridge. He is attached to a bungee cord and is seen swinging above the water.'], ['The person is bungee jumping.'], ['The people in the background are standing on a boat.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The person in the video appears to be enjoying the experience and having fun.'], ['Yes the video shows a man bungee jumping off a bridge into the water.'], ['Yes the person is holding a rope.'], ['Yes the video shows a man bungee jumping from a high platform which can be dangerous.'], ['The video does not provide any information about the profession of the people in the video.']
1hxCjKta2Cs_000128_000138.mp4, ['The video shows a group of people sitting around a table eating and drinking.'], ['The person is standing behind the table and holding a camera.'], ['The people in the background are standing and talking to each other.'], ['The video shows people sitting at a table and eating food but it is not clear if they are focused or distracted.'], ['The person in the video appears to be happy and enjoying the moment.'], ['Yes the video shows a woman wearing a pink shirt and a man wearing a white shirt. There is also a table with a yellow tablecloth and a glass of water on it.'], ['Yes a man is holding a camera in the video.'], ['Yes there is a safety hazard in the place. A man is standing on a ladder which is a potential hazard if he falls.'], ['The video does not provide any information about the profession of the people in the video.']
7aU9ehmoli8_000077_000087.mp4, ['In this video we see a man sitting on a couch and laughing. He then leans over and starts to rub his face.'], ['The person is laughing and bending over.'], ['The people in the background are laughing.'], ['The video shows people laughing and enjoying themselves indicating that they are focused on the performance.'], ['The person in the video appears to be in a happy mood as they are laughing and smiling.'], ['Yes the video shows a man wearing a purple shirt and a black jacket. He is sitting on a couch and laughing.'], ['Yes the man is holding a microphone.'], ['There is no indication of any safety hazards in the place.'], ['The video does not provide any information about the professions of the people in the video.']
9fA8-di1A28_000047_000057.mp4, ['The video shows a snowy landscape with trees and a dog running through the snow.'], ['The person is sledding down a snowy hill.'], ['The people in the background are sledding down a snowy hill.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The person in the video appears to be having a good time and enjoying the snowy environment.'], ['Yes the video shows a dog running on a snowy hill a snow-covered ground and a tree in the background.'], ['Yes a person is holding a snowboard.'], ['Yes there is a safety hazard in the place. The video shows a dog running on the snow-covered ground which can be slippery and dangerous for both the dog and the person filming. It is important to be cautious when walking or playing with a dog in snowy conditions to avoid accidents.'], ['There is no information about the profession of the people in the video.']
CJi-yR1iqGo_000082_000092.mp4, ['The video shows two people riding bicycles in a snowy forest. One person is riding a bike on a snowy trail while the other person is riding a bike on a snowy hill. The video captures the beauty of winter sports and the thrill of riding bikes in snowy conditions.'], ['The person is riding a bike through the snow.'], ['The people in the background are riding bikes on a snowy trail.'], ['The people in the video are focused on their activities as they are riding bikes through the snowy terrain.'], ['The person in the video appears to be having a good time as they are smiling while riding their bike down the snowy hill.'], ['Yes the video shows a person riding a bike on a snowy trail in a forest.'], ['Yes one person is holding a snowboard.'], ['Yes the place seems to have some safety hazards. The snowy terrain and the presence of trees and branches can pose risks to the riders. The riders need to be cautious and take necessary precautions to avoid accidents.'], ['The video does not provide any information about the profession of the people in the video.']
5FDAC4Iw254_000021_000031.mp4, ['The video shows a man signing a document while two people stand behind him.'], ['The person is holding a dog.'], ['The people in the background are walking down the street.'], ['The video shows people walking around and looking at their phones indicating that they are distracted.'], ['The person in the video appears to be happy and smiling.'], ['Yes the video shows a man sitting at a desk a woman holding a dog and a man standing in front of a podium.'], ['Yes a woman is holding a dog in her arms.'], ['Yes there is a safety hazard in the place. A woman is holding a dog on a leash and the dog is running towards the woman. This could potentially cause the woman to trip and fall or the dog to get hurt.'], ['The video shows a man in a suit and tie a woman in a green coat and a man in a suit and tie. However there is no information about their professions in the video.']
1gUai0f0Y18_000001_000011.mp4, ['The video shows a group of people standing around a truck at night.'], ['The person is standing in the parking lot.'], ['The people in the background are standing around a truck.'], ["The video does not provide any information about the people's focus or distraction."], ['The person in the video appears to be calm and relaxed as they are walking around the parking lot at night.'], ['Yes the video shows a truck a person in a red shirt and a person in a black shirt.'], ['Yes a man is holding a red flag.'], ['Yes there are safety hazards in the place. The video shows a man walking in the dark which can be dangerous due to the lack of visibility. Additionally there are people standing around a truck which can be hazardous if the truck is in motion or if there are any other vehicles nearby.'], ['The video does not provide any information about the profession of the people in the video.']
1npndqfL-nY_000092_000102.mp4, ["This video shows a garbage truck picking up a cardboard box. The truck has a mechanical arm that lifts the box and then compresses it before depositing it into the truck's container. The process is part of the waste management system where cardboard boxes are collected and recycled or disposed of properly."], ['The person is putting a cardboard box into the garbage truck.'], ['The people in the background are standing on the snow-covered ground.'], ['The video shows people focused on their tasks such as loading a truck with cardboard boxes and a man standing on a snowy street.'], ['The person in the video appears to be focused and determined as they work on the large machine.'], ['Yes the video shows a garbage truck a man and a snow-covered ground.'], ['Yes a man is holding a piece of cardboard.'], ['Yes there are safety hazards in the place. The man is standing on a snowy surface which can be slippery and cause falls. Additionally the garbage truck is in operation which can be noisy and potentially dangerous if not handled properly.'], ['The video does not provide any information about the profession of the people in the video.']
-ZFww1qGkJs_000118_000128.mp4, ['The video shows a person washing their feet in a sink.'], ['The person is washing their feet in a sink.'], ['The people in the background are washing their feet in the bathtub.'], ['The video shows people in the bathtub but it is unclear whether they are focused or distracted.'], ['The person in the video appears to be relaxed and enjoying their time in the bathtub.'], ['Yes the video shows a person washing their feet in a sink.'], ['Yes the person is holding a toothbrush.'], ['Yes there is a potential safety hazard in the bathroom. The person is standing in the bathtub with their feet in the water which could lead to slipping and falling. It is important to be cautious when standing in the bathtub to avoid accidents.'], ['The video does not provide any information about the profession of the people in the video.']
0-IXkFA_WWE_000002_000012.mp4, ['The video shows a man working with paper and a yellow board. He is seen wiping down the yellow board and then putting paper on top of it.'], ['The person is seen wiping down a large yellow paper with a rag.'], ['The people in the background are seen working on a machine.'], ['The people in the video are focused on their tasks as they are seen working on various machines and equipment.'], ['The person in the video appears to be focused and engaged in their work as they are seen working on a piece of paper and a yellow square.'], ['Yes the video shows a person cleaning a yellow surface with a yellow sponge. There is also a yellow square on a table and a yellow square on a yellow surface.'], ['Yes a person is holding a yellow object.'], ['Yes there is a safety hazard in the place. The man is seen standing on a ladder while working on a large piece of paper which could potentially cause a fall if he loses his balance.'], ['The video shows a man and a woman working in a printing shop.']
8pBehjaDzGM_000013_000023.mp4, ['This video appears to be a screenshot from a video game specifically from the game "Grand Theft Auto V" (GTA V). The scene shows a first-person view of a character in a car with the dashboard visible at the top of the screen. The character\'s hands are visible and there is a small minimap in the bottom left corner of the screen. The minimap shows the player\'s current location and nearby objects. The overall setting suggests that the player is driving a car in the game.'], ['The person is sitting in a car and holding a steering wheel.'], ['The people in the background are flying kites.'], ['The video shows people playing video games which suggests that they are focused on the game.'], ['The person in the video appears to be calm and relaxed as they are sitting in a car with their hands on the wheel.'], ["Yes the video shows a person's hands and a blue sky with clouds."], ['Yes there is a person holding a frisbee.'], ['There is no indication of any safety hazards in the place.'], ['The video does not provide any information about the profession of the people.']
CFvYIZ4bEvI_000066_000076.mp4, ['The video shows a group of people gathered around a table. One person is holding the arm of another person and they are all laughing.'], ['The person is sitting on a bed and laughing.'], ['The people in the background are sitting on a couch.'], ['The people in the video are distracted by the arm wrestling match.'], ['The person in the video appears to be happy and enjoying the moment.'], ['Yes the video shows a table with a white cloth on it.'], ['Yes a man is holding a white cloth.'], ['There is no indication of any safety hazards in the place.'], ['The video does not provide any information about the profession of the people in the video.']
Cvdq04wmeQA_000004_000014.mp4, ['The video shows a woman sitting on a bench holding a bottle of water.'], ['The person is sitting on a bench and holding a bottle of water.'], ['The people in the background are standing and walking around.'], ['The people in the video appear to be distracted as they are looking at the camera and not paying attention to their surroundings.'], ['The person in the video appears to be happy and smiling.'], ['Yes the video shows a woman sitting on a bench with a purple bag next to her.'], ['Yes the woman is holding a bottle of water.'], ['There is no indication of any safety hazards in the place.'], ['The video does not provide any information about the profession of the people.']
04DfOo3q0eE_000179_000189.mp4, ['The video shows a man playing tennis on a court. He is hitting a ball with a racket and running around the court.'], ['The person is playing tennis on a court.'], ['The people in the background are playing tennis.'], ['The video shows people playing tennis on a court but it is not clear whether they are focused or distracted.'], ['The person in the video appears to be happy and excited while playing tennis.'], ['Yes the video shows a tennis court with a net a tennis ball and a person playing tennis.'], ['Yes a person is holding a tennis racket.'], ['Yes there is a safety hazard in the place. A cat is seen walking on the tennis court which could potentially distract the players or cause injury.'], ['The video does not provide any information about the profession of the people in the video.']
06eDnbb3csU_000021_000031.mp4, ['The video shows a person cutting a watermelon with a knife.'], ['The person is cutting a watermelon with a knife.'], ['The people in the background are cutting a watermelon.'], ["The video shows people cutting watermelons in various settings including a kitchen and a table. The captions mention that some people are focused on their tasks while others are distracted. However the captions do not provide any specific details about the people's actions or the context of the video."], ['The person in the video appears to be in a relaxed and casual mood as they are cutting the watermelon with a knife and enjoying the process.'], ['Yes the video shows a watermelon being cut open with a knife and scissors.'], ['Yes a person is holding a knife and a pair of scissors.'], ['There is no indication of any safety hazards in the place where the watermelon is being cut.'], ['The video does not provide any information about the profession of the people in the video.']
8skoRqWtgYQ_000303_000313.mp4, ['The video shows a group of people playing a game of hurling on a field.'], ['The person is playing a game of hurling.'], ['The people in the background are watching the game.'], ['The video shows people playing a game on a field but it is not clear whether they are focused or distracted.'], ['The person in the video appears to be happy and excited as they are smiling and laughing while playing the game.'], ['Yes the video shows a green and white ball being thrown in the air a man in a red shirt falling down and a person in a green shirt running on the field.'], ['Yes a man is holding a frisbee in the video.'], ['Yes there is a safety hazard in the place. A person is seen falling down on the ground which could potentially cause injury.'], ['The video does not provide any information about the profession of the people in the video.']
01sVOoCZlBU_000003_000013.mp4, ['The video shows a person riding a scooter down a street and performing tricks at a skate park.'], ['The person is riding a scooter.'], ['The people in the background are sitting on a bench.'], ['The video shows people riding scooters and skateboards in a park with some people sitting on benches and others standing. The captions do not provide any information about whether they are focused or distracted.'], ['The person in the video appears to be having fun and enjoying the activity of riding a scooter.'], ['Yes the video shows a man riding a scooter down a street a person riding a skateboard and a person riding a bike.'], ['Yes a man is holding a frisbee in the video.'], ['Yes there is a safety hazard in the place. A man is seen riding a scooter on the sidewalk which is not a safe place for riding scooters.'], ['The video does not provide any information about the profession of the people in the video.']
BdV-M2Ct-7U_000141_000151.mp4, ['This video shows a person riding a red hoverboard on a concrete surface.'], ['The person is riding a red hoverboard.'], ['The people in the background are walking on the ground.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The person in the video appears to be having fun and enjoying the ride on the hoverboard.'], ['Yes the video shows a person riding a red hoverboard on a sidewalk.'], ['Yes the person is holding a red and black skateboard.'], ['Yes the person is riding a hoverboard on a snowy surface which can be slippery and potentially dangerous.'], ['The video does not provide any information about the profession of the people in the video.']
2fqpp3RW5Xc_000260_000270.mp4, ['The video shows a group of people playing basketball on a court. One person throws the ball into the basket and the others continue playing.'], ['The person is playing basketball on a court.'], ['The people in the background are playing basketball.'], ['The people in the video are focused on playing basketball and enjoying the game.'], ['The person in the video appears to be happy and enjoying the game of basketball.'], ['Yes the video shows a basketball court with a basketball hoop a tree and a building in the background.'], ['Yes one of the individuals is holding a basketball.'], ['There is no indication of any safety hazards in the place.'], ['No the video does not provide any information about the professions of the people playing basketball.']
BXqNqTzgnqs_000020_000030.mp4, ['The video shows a man playing a bass guitar.'], ['The person is playing a red bass guitar.'], ['The people in the background are playing the guitar.'], ['The people in the video are focused on playing the guitar and reading the music sheet.'], ['The person in the video appears to be focused and engaged in playing the guitar.'], ['Yes the video shows a man playing a red guitar and a person holding a piece of paper with numbers on it.'], ['Yes a man is holding a guitar.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the profession of the people playing the guitar.']
9WYbbHEoYfI_000147_000157.mp4, ['The video shows a person flying a kite in the sky.'], ['The person is flying a kite in the sky.'], ['The people in the background are standing on the grass.'], ['The people in the video are focused on the paraglider and the surrounding landscape.'], ['The person in the video appears to be having a great time and enjoying the experience of flying through the sky.'], ['Yes the video shows a person flying a kite in the sky.'], ['Yes the person is holding onto the parachute.'], ['Yes there are safety hazards in the place. The person is flying a kite in the air which could pose a risk of collision with other objects or people. Additionally the person is flying over a field with trees and power lines which could also pose a risk of injury or damage.'], ['The video shows a man flying a kite and a person flying a kite in the sky. There is no indication of their profession in the video.']
40uaL6nrB3Q_000002_000012.mp4, ['The video shows a girl performing a flip on a trampoline in a gym.'], ['The person is jumping on a trampoline.'], ['The people in the background are watching the girl perform her flips on the trampoline.'], ['The video shows people focused on their activities with some individuals standing on a trampoline and others watching.'], ['The person in the video appears to be happy and excited as they run down the mat and perform a flip.'], ['Yes the video shows a trampoline a blue mat and a red mat.'], ['Yes a woman is holding a blue object in the video.'], ['Yes there are safety hazards in the place.'], ['The video does not provide any information about the profession of the people in the video.']
AqLfeamZ8_A_000010_000020.mp4, ['This video shows a man lifting a barbell in a gym. He is wearing a red shirt and black pants. The gym has various equipment including weightlifting machines and barbells. The man appears to be performing a weightlifting exercise possibly a deadlift or a similar movement.'], ['The person is lifting a weight.'], ['The people in the background are lifting weights.'], ['The video shows people in the gym focused on their workout routines with no indication of distraction.'], ['The person in the video appears to be focused and determined as they lift the weight.'], ['Yes the video shows a man lifting a barbell in a gym. There are also other people in the background and the gym has various equipment and posters on the walls.'], ['Yes the man is holding a barbell.'], ['Yes there are safety hazards in the place. The man is lifting a heavy weight which can cause injury if he drops it. Additionally there are other people in the background who are also lifting weights which can be dangerous if they collide with each other.'], ['The video does not provide any information about the professions of the people in the video.']
4IZkyZOivZg_000039_000049.mp4, ['In the video a man is seen paddling a canoe on a body of water. He is wearing a blue hat and a life jacket. The canoe is wooden and has a yellow paddle. The man appears to be enjoying his time on the water and the video captures the serene and peaceful atmosphere of the scene.'], ['The person is paddling a canoe.'], ['The people in the background are also kayaking.'], ['The people in the video are focused on their kayaking activity as they are seen paddling and maneuvering their boats through the water.'], ['The person in the video appears to be enjoying their time on the water as they are seen paddling a canoe and a kayak.'], ['Yes the video shows a man in a boat paddling with a paddle.'], ['Yes the person is holding a paddle.'], ['There is no indication of any safety hazards in the image.'], ['No the video does not provide any information about the professions of the people in the video.']
